uid,date,time,block,init,fund,strat,notes

1,2025-03-20,00:00:01,5165832,1,1000,{1:1.0},all in 1

2,2025-03-28,00:00:01,5223432,0,1000,{1:1.0},ease in
2,2025-03-26,00:00:01,5209032,0,1000,{1:0.8},ease in
2,2025-03-24,00:00:01,5194632,0,1000,{1:0.6},ease in
2,2025-03-22,00:00:01,5180232,0,1000,{1:0.4},ease in
2,2025-03-20,00:00:01,5165832,1,1000,{1:0.2},ease in

3,2025-03-20,00:00:01,5165832,1,1000,{1:1.0},rotate
3,2025-03-22,00:00:01,5180232,0,1000,{2:1.0},rotate
3,2025-03-24,00:00:01,5194632,0,1000,{4:1.0},rotate
3,2025-03-26,00:00:01,5209032,0,1000,{19:1.0},rotate
3,2025-03-28,00:00:01,5223432,0,1000,{41:1.0},rotate

4,2025-03-20,00:00:01,5165832,1,1000,"{1:0.27, 2:0.15, 4:0.21, 19:0.16, 41:0.16}",diversified + cash 0.05
4,2025-03-25,00:00:01,5201832,0,1000,"{1:0.27, 2:0.15, 4:0.21, 19:0.16, 41:0.16}",rebalancing
4,2025-03-30,00:00:01,5237832,0,1000,"{1:0.27, 2:0.15, 4:0.21, 19:0.16, 41:0.16}",rebalancing

5,2025-03-20,00:00:01,5165832,1,1000,{1:0.0},all cash
